cost_center,name
11000,Administration
11100,Finance
11200,Human Resources
11230,Employee Benefits
11260,Infection Control
11300,Information Systems
11314,Clinical Informatics
11325,Patient Experience
11360,Revenue Cycle Management
11370,Patient Financial Services
11395,Marketing & Communications
11440,Chaplain
12050,Hospital Registration
12080,Medical Staff
12200,Health Information Management
12300,Food Services
12305,Dietician
12310,Laundry & Linen
12320,Environmental Services
12330,Communications
12400,Materials Management
12510,Plant & Engineering
12900,Healthworks
30170,Labor & Delivery
30180,Obstetrics
30200,ICU/CCU
30250,Newborn
30270,Medical/Surgical
42810,Radiology
44830,Laboratory
44850,Pathology
45100,Surgery
45150,Anesthesia
45200,Recovery
46030,Air Ambulance
46035,Ambulance
46040,Emergency
46080,Pharmacy
46120,Respiratory Therapy
46150,Sleep Center
46190,Physical Therapy
46200,Occupational Therapy
46280,Cardiac Rehab
46320,Nuclear Medicine
46350,Radiation Oncology
46360,Medical Oncology
46560,Wound Care
46570,Diabetes Care
46680,Social Services
46720,Hospital Services Administration
46780,Caring Corner Gift Shop
51000,Clinic Administration
52605,Advanced Aesthetics
53000,Primary Care Clinic
53105,Same Day Clinic
53605,MonDak Clinic
54110,Outreach & Credentialing
54259,Retail Pharmacy
55050,Visiting Nurse Services
55105,OB/GYN Clinic
55130,Orthopedic Clinic
55225,General Surgery Clinic
55505,Audiologist
55510,ENT Clinic
56005,Radiation Oncology Clinic
56010,Medical Oncology Clinic
57020,Independent Physician Clinic
60270,ECF Nursing
61000,ECF Administration
61470,ECF Activities
62320,ECF Environmental Services
66680,ECF Social Services
71000,Foundation
80450,Good Cents Store
83735,Hospice
85035,Personal Care Assistance
61000,Lodge Administration
